Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ACARO2,ABAB3,Acarospora A. Massal.,cracked lichen,Acarosporaceae
ACER,ABAB3,Acer L.,maple,Aceraceae
ACGI,ABAB3,Acer ginnala Maxim.,Amur maple,Aceraceae
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,hybrid violet,Aceraceae
ACNE2,ABAB3,Acer negundo L.,boxelder,Aceraceae
ACNEN,ABAB3,Acer negundo L. var. negundo,boxelder,Aceraceae
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,hybrid violet,Aceraceae
ACNEN,NEAC,Negundo aceroides (L.) Moench,hybrid violet,Aceraceae
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",hybrid violet,Aceraceae
ACNEV,ABAB3,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,hybrid violet,Aceraceae
ACNI5,ABAB3,Acer nigrum Michx. f.,black maple,Aceraceae
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,hybrid violet,Aceraceae
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,hybrid violet,Aceraceae
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,hybrid violet,Aceraceae
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,hybrid violet,Aceraceae
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,hybrid violet,Aceraceae
ACPA2,ABAB3,Acer palmatum Thunb.,Japanese maple,Aceraceae
ACPE,ABAB3,Acer pensylvanicum L.,striped maple,Aceraceae
ACPL,ABAB3,Acer platanoides L.,Norway maple,Aceraceae
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,hybrid violet,Aceraceae
ACPS,ABAB3,Acer pseudoplatanus L.,sycamore maple,Aceraceae
ACRU,ABAB3,Acer rubrum L.,red maple,Aceraceae
ACRU,ACBA2,Acer barbatum Michx. p.p.,hybrid violet,Aceraceae
ACRUR,ABAB3,Acer rubrum L. var. rubrum,red maple,Aceraceae
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,hybrid violet,Aceraceae
ACRUR,ACST,Acer stenocarpum Britton,hybrid violet,Aceraceae
ACRUR,RURU5,Rufacer rubrum (L.) Small,hybrid violet,Aceraceae
ACRUT,ABAB3,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae
ACRUT,ACCA9,Acer carolinianum Walter,hybrid violet,Aceraceae
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,hybrid violet,Aceraceae
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,hybrid violet,Aceraceae
ACSA2,ABAB3,Acer saccharinum L.,silver maple,Aceraceae
ACSA2,ACDA2,Acer dasycarpum Ehrh.,hybrid violet,Aceraceae
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,hybrid violet,Aceraceae
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,hybrid violet,Aceraceae
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,hybrid violet,Aceraceae
ACSA3,ABAB3,Acer saccharum Marshall,sugar maple,Aceraceae
ACSAS,ABAB3,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,hybrid violet,Aceraceae
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,hybrid violet,Aceraceae
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,hybrid violet,Aceraceae
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,hybrid violet,Aceraceae
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,hybrid violet,Aceraceae
ACSP2,ABAB3,Acer spicatum Lam.,mountain maple,Aceraceae
ACAM,ABAB3,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae
ACAM,ACCA10,Acorus calamus auct. non L.,hybrid violet,Acoraceae
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,hybrid violet,Acoraceae
ACCA4,ABAB3,Acorus calamus L.,calamus,Acoraceae
ACORU,ABAB3,Acorus L.,sweetflag,Acoraceae
YUCCA,ABAB3,Yucca L.,yucca,Agavaceae
YUFI,ABAB3,Yucca filamentosa L.,Adam's needle,Agavaceae
